"Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","APAfactor"
"Wang 2016","F",6,133,"=",13.41,"=",0.3,7.48743749240135e-12,"F(6, 133) = 13.41, p = 0.30",TRUE,TRUE,FALSE,FALSE,0.16
"Wang 2016","F",6,133,"=",15.45,"<",0.001,2.16669322161125e-13,"F(6, 133) = 15.45,
p < 0.001",FALSE,FALSE,FALSE,FALSE,0.16
"Zabini 2020_CODED","t",NA,73,"=",1.22,"=",0.227,0.226391599739664,"t(73) = 1.22, p = 0.227",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",0.24,"=",0.62,0.624206114766406,"
2 (1) = 0.24, p = 0.620",TRUE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",0.04,"=",0.847,0.841480581121794,"
2 (1) = 0.04, p = 0.847",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",0.04,"=",0.847,0.841480581121794,"
2 (1) = 0.04, p = 0.847",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",0.4,"=",0.529,0.527089256865538,"
2 (1) = 0.40, p = 0.529",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",0.11,"=",0.743,0.740144135804575,"
2 (1) = 0.11, p = 0.743",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",0.01,"=",0.908,0.920344325445942,"
2 (1) = 0.01, p = 0.908",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",0.25,"=",0.62,0.617075077451974,"
2 (1) = 0.25, p = 0.620",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",1.17,"=",0.279,0.279401240509134,"
2 (1) = 1.17, p = 0.279",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",3,NA,"=",2.95,"=",0.399,0.399398610742857,"
2 (3) = 2.95, p = 0.399",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",0.05,"=",0.83,0.823063273758121,"
2 (1) = 0.05, p = 0.830",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","Chi2",1,NA,"=",1.26,"=",0.261,0.261651090588237,"
2 (1) = 1.26, p = 0.261",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",0.08,"=",0.776,0.778097892168819,"F(1,73) = 0.08, p = 0.776",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",9.25,"=",0.003,0.00327001259700114,"F(1,73) = 9.25, p = 0.003",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",8.25,"=",0.005,0.0053317357780543,"F(1,73) = 8.25, p = 0.005",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",0.08,"=",0.776,0.778097892168819,"F(1,73)
=
0.08,
p
=
0.776",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",9.25,"=",0.003,0.00327001259700114,"F(1,73)
=
9.25,
p
=
0.003",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",8.25,"=",0.005,0.0053317357780543,"F(1,73)
= 8.25,
p = 0.005",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",1.1,"=",0.299,0.297726084175465,"F(1,73) = 1.10, p = 0.299",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",6.45,"=",0.013,0.0132239001340154,"F(1,73) = 6.45, p = 0.013",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",9.4,"=",0.003,0.00304141655571189,"F(1,73) = 9.40,
p = 0.003",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",1.1,"=",0.299,0.297726084175465,"F(1,73)
=
1.10,
p
=
0.299",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",6.45,"=",0.013,0.0132239001340154,"F(1,73)
=
6.45,
p
=
0.013",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",0.21,"=",0.649,0.648128699708497,"F(1,73) = 0.21, p = 0.649",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",0.02,"=",0.887,0.887926633098207,"F(1,73) = 0.02, p = 0.887",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",0.21,"=",0.649,0.648128699708497,"F(1,73)
=
0.21,
p
=
0.649",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",0.02,"=",0.887,0.887926633098207,"F(1,73)
=
0.02,
p
=
0.887",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",19.91,"<",0.001,2.89157892579138e-05,"F(1,73)
=
19.91,
p
< 0.001",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",0.07,"=",0.789,0.792082358268738,"F(1,73) = 0.07, p = 0.789",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",13.77,"<",0.001,0.000400544799058045,"F(1,73) = 13.77, p < 0.001",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",13.77,"<",0.001,0.000400544799058045,"F(1,73)
= 13.77,
p < 0.001",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",7.89,"=",0.006,0.00637421923013273,"F(1,73)
= 7.89,
p = 0.006",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",0.64,"=",0.425,0.426306511524119,"F(1,73) = 0.64, p = 0.425",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",3.49,"=",0.066,0.0657537629933129,"F(1,73) = 3.49, p = 0.066",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","F",1,73,"=",7.89,"=",0.006,0.00637421923013273,"F(1,73) = 7.89, p = 0.006",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,40,"=",3.91,"<",0.001,0.000348351836116489,"t(40) = 3.91, p < 0.001",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,40,"=",3.58,"=",0.001,0.000919606682025192,"t(40) = 3.58, p = 0.001",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,40,"=",3.42,"=",0.001,0.00145429502209003,"t(40) = 3.42, p = 0.001",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,40,"=",3.91,"<",0.001,0.000348351836116489,"t(40) = 3.91, p < 0.001",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,40,"=",3.58,"=",0.001,0.000919606682025192,"t(40) = 3.58, p = 0.001",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,40,"=",3.42,"=",0.001,0.00145429502209003,"t(40) = 3.42, p = 0.001",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,40,"=",2.46,"=",0.018,0.0183109508464511,"t(40) = 2.46,
p = 0.018",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,40,"=",2.93,"=",0.006,0.0055764883683728,"t(40) = 2.93, p = 0.006",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,40,"=",2.93,"=",0.006,0.0055764883683728,"t(40) = 2.93, p = 0.006",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,33,"=",-2.93,"=",0.006,0.00610829379488087,"t(33) = -2.93, p = 0.006",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,33,"=",-2.93,"=",0.006,0.00610829379488087,"t(33) = -2.93, p = 0.006",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,33,"=",-2.93,"=",0.006,0.00610829379488087,"t(33) = -2.93, p = 0.006",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,33,"=",-2.93,"=",0.006,0.00610829379488087,"t(33) = -2.93, p = 0.006",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,35,"=",-0.59,"=",0.556,0.558980802634604,"t(35) = -0.59, p = 0.556",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,27,"=",-0.32,"=",0.748,0.751431539262021,"t(27) = -0.32, p = 0.748",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,35,"=",-1.19,"=",0.241,0.242056008809602,"t(35) = -1.19, p = 0.241",FALSE,FALSE,FALSE,FALSE,0.93
"Zabini 2020_CODED","t",NA,27,"=",-0.11,"=",0.915,0.913222919389459,"t(27) = -0.11, p = 0.915",FALSE,FALSE,FALSE,FALSE,0.93
